Fall 2026
FALL SEMESTER	2026
Final Registration for Regular and A Terms	August 17 - 18
Faculty Workdays	August 17 - 18
Classes Begin (Regular/A-Term)	August 19
Last Day to Receive a 75% Refund (A-Term)	August 23
College Convocation	August 28
75% Refund/Last Day to Drop Classes without W (Regular-Term)	August 28
Last Day to Submit Fall 2026 SAP Appeals	August 31
Attendance Verification Due (Regular/A-Term)	September 4
Labor Day Holiday (College Closed)	September 7
Last Day to Register for Flex-Term Classes	September 15
Classes Begin (Flex-Term)	September 16
Financial Aid Grant Disbursement (Regular/A-Term)	September 18
Last Day to Receive a 75% Refund (Flex-Term)	September 23
Last Day to Withdraw from Class or Audit (A-Term)	September 24
Attendance Verification Due (Flex-Term)	September 29
Last Day to Remove an Incomplete Grade for Spring/Summer-Terms	October 12
End of A-Term	October 12
Last Day to Register for B-Term Classes	October 13
Mid-Term Grading Verification	October 13
Grades Posted/Attendance Rosters Due by 2:00 p.m. (A-Term)	October 13
Faculty Workday (No Classes) or Make-Up Day for Official Cancellation	October 13
Classes Begin (B-Term)	October 14
Last Day to Apply for Fall Graduation	October 15
Financial Aid Grant Disbursement (Flex-Term)	October 16
Last Day to Receive a 75% Refund (B-Term)	October 18
Attendance Verification Due (B-Term)	October 26
Spring Priority Registration	November 2 - 6
Last Day to Withdraw from Class or Audit (Regular-Term)	November 3
Open Registration Begins (Spring 2027)	November 9
Veteran Day Observed Holiday (College Closed)	November 11
Financial Aid Grant Disbursement (B-Term)	November 13
Last Day to Withdraw from Class or Audit (Flex-Term)	November 16
Last Day to Withdraw from Class or Audit (B-Term)	November 23
Student/Faculty Semester Break (No Classes)	November 25
Thanksgiving Holidays (College Closed)	November 26 - 29
End of Fall Semester (Regular/Flex/B-Term)	December 16
Faculty Workdays	December 17 - 18
Grades Posted/Attendance Rosters Due by 10:00 a.m. (Regular-Term, Flex-Term & B-Term)	December 18
Holiday Break (College Closed)	December 23 - 31
A-Term (8 Weeks):	August 19 - October 12
Regular-Term (16 Weeks):	August 19 - December 16
Flex-Term (12 Weeks):	September 16 - December 16
B-Term (8 Weeks):	October 14 - December 16
Spring 2027
SPRING SEMESTER	2027
New Year's Observed Holiday (College Closed)	January 1
Staff Returns for Spring Semester	January 4
Final Registration for Spring Semester	January 4 - 8
Faculty Workdays	January 7 - 8
Classes Begin (Regular/A-Term)	January 11
Last Day to Receive a 75% Refund (A-Term)	January 15
Martin Luther King Holiday (College Closed)	January 18
Last Day to Receive a 75% Refund (Regular-Term)	January 22
Attendance Verification Due (Regular/A-Term)	January 27
Last Day to Register for Flex-Term Classes	February 8
Classes Begin (Flex-Term)	February 9
Financial Aid Grant Disbursement (Regular/A-Term)	February 12
Last Day to Receive a 75% Refund (Flex-Term)	February 16
Last Day to Withdraw from Class or Audit (A-Term)	February 18
Attendance Verification Due (Flex-Term)	February 24
Last Day to Remove an Incomplete Grade for Fall-Terms	March 8
End of A-Term	March 8
Faculty Workday (No Classes) or Make-Up Day for Official Cancellation	March 9
Grades Posted/Attendance Rosters Due by 2:00 p.m. (A-Term)	March 9
Mid-Term Grading Verification	March 9
Last Day to Register for B-Term Classes	March 9
Classes Begin (B-Term)	March 10
Financial Aid Grant Disbursement (Flex-Term)	March 12
Last Day to Receive a 75% Refund (B-Term)	March 14
Last Day to Apply for Spring Graduation	March 15
Attendance Verification Due (B-Term)	March 24
Student/Faculty Semester Break (No Classes)	March 26 - April 2
Spring Holiday (College Closed)	March 29
Summer/Fall Priority Registration Begins	March 29 - April 2
Last Day to Withdraw from Class or Audit (Regular-Term)	April 5
Summer/Fall Open Registration Begins	April 5
Financial Aid Grant Disbursement (B-Term)	April 13
Last Day to Withdraw from Class or Audit (Flex-Term)	April 14
Last Day to Withdraw from Class or Audit (B-Term)	April 23
End of Spring Semester (Regular-Term, Flex-Term & B-Term)	May 11
Grades Posted/Attendance Rosters Due by 5:00 p.m.	May 12
Faculty Workday (12-Month Faculty)	May 13
Graduation	May 14
A-Term:	January 11 - March 8
Regular-Term:	January 11 - May 11
Flex-Term:	February 9 - May 11
B-Term:	March 10 - May 11
Summer 2027
SUMMER SEMESTER	2027
Final Registration for Summer Semester	May 17 - 19
Faculty Workday	May 19
Classes Begin (Regular/A-Term)	May 20
Last Day to Receive a 75% Refund (A-Term)	May 24
Last Day to Receive a 75% Refund (Regular-Term)	May 26
Memorial Day Holiday (College Closed)	May 31
Attendance Verification Due (Regular/A-Term)	June 2
Classes Begin (Flex-Term)	June 3
Last Day to Receive a 75% Refund (Flex-Term)	June 7
Attendance Verification Due (Flex-Term)	June 8
Last Day to Apply for Summer Graduation	June 15
Financial Aid Grant Disbursement	June 18
Last Day to Withdraw from Class or Audit (A-Term)	June 28
Independence Day Holiday (College Closed)	July 1 - 4
Last Day to Withdraw from Class or Audit (Regular-Term)	July 12
Last Day to Withdraw from Class or Audit (Flex-Term)	July 16
End of A-Term	July 20
Grades Posted/Attendance Rosters Due by 5:00 p.m. (A-Term)	July 21
End of Summer Semester (Regular & Flex-Term)	August 2
Grades Posted/Attendance Rosters Due by 5:00 p.m. (Regular-Term)	August 4
A-Term:	May 20 - July 20
Regular-Term:	May 20 - August 2
Flex-Term	June 3 - August 2
