Term Number	Semester	Enrollment	Course Code	Course Title	Session Type	Session Number	Session title (if used)	Session Delivery Mode	Session Location	Session length (in hours)	Max number of students that ONE session can accommodate	Number of faculty required to teach full session	Contact hour policy for faculty during session (___hrs per contact hour)	Number of support staff required to teach full session	Contact hour policy for support staff during session (___hrs per contact hour)	This session occurs during Week __ of term	This session occurs on ____.	Notes	Number of preceptors required to teach full clinical session	Contact hour policy for preceptors during session (___hrs per contact hour)	Clinical Rotation Type	Clinical Mode	Total space hours to service hour requirements	Number of sections required to service hour requirements	Total number of faculty contact hours	Total number of faculty contact hours (semesterly)	Total number of faculty contact hours (weekly)	Total number of preceptor contact hours	Total number of preceptor contact hours (semesterly)	Total number of preceptor contact hours (weekly)
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	1	Mod 1: History of Surgery; Importance/Maintenance of Credentialing; Surgical Technology Organizations; Intro to Medical Terminology; Intro to Pharmacology                                      	In-person	KENN-148	0.8333333	20	1	2.5	0	1	1	Wednesday	"8:30-9:20a, (50 min. in-person)
"					1.6666666	2	1.6666666	0.005787037	0.104166663	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	2	Mod 1: History of Surgery; Importance/Maintenance of Credentialing; Surgical Technology Organizations; Intro to Medical Terminology; Intro to Pharmacology                                      	Online	Internet	2.1666	20	1	2.5	0	1	1	Online	Online 2hrs, 10min, SMTWThFS					4.3332	2	4.3332	0.015045833	0.270825	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	3	Mod 2: Intro to Legal & Ethical Issues; Risk Management; Medical Terminology; Pharmacology	In-person	KENN-148	0.8333333	20	1	2.5	0	1	2	Wednesday	"8:30-9:20a, (50 min. in-person)
"					1.6666666	2	1.6666666	0.005787037	0.104166663	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	4	Mod 2: Intro to Legal & Ethical Issues; Risk Management; Medical Terminology; Pharmacology	Online	Internet	2.1666	20	1	2.5	0	1	2	Online	Online 2hrs, 10min, SMTWThFS					4.3332	2	4.3332	0.015045833	0.270825	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	5	Mod 3: Intro to Environments Hazards and Safety Concepts; Disaster Preparedness & Response; Medical Terminology; Pharmacology           	In-person	KENN-148	0.8333333	20	1	2.5	0	1	3	Wednesday	"8:30-9:20a, (50 min. in-person)
"					1.6666666	2	1.6666666	0.005787037	0.104166663	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	6	Mod 3: Intro to Environments Hazards and Safety Concepts; Disaster Preparedness & Response; Medical Terminology; Pharmacology           	Online	Internet	2.1666	20	1	2.5	0	1	3	Online	Online 2hrs, 10min, SMTWThFS					4.3332	2	4.3332	0.015045833	0.270825	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	7	Mod 4: Intro to Pharmacology & Anesthesia; Medical Terminology; Pharmacology	In-person	KENN-148	0.8333333	20	1	2.5	0	1	4	Wednesday	"8:30-9:20a, (50 min. in-person)
"					1.6666666	2	1.6666666	0.005787037	0.104166663	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	8	Mod 4: Intro to Pharmacology & Anesthesia; Medical Terminology; Pharmacology	Online	Internet	2.1666	20	1	2.5	0	1	4	Online	Online 2hrs, 10min, SMTWThFS					4.3332	2	4.3332	0.015045833	0.270825	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	9	Mod 5: Intro to Health Care Facilitie; Medical Terminology; Pharmacology	In-person	KENN-148	0.8333333	20	1	2.5	0	1	5	Wednesday	"8:30-9:20a, (50 min. in-person)
"					1.6666666	2	1.6666666	0.005787037	0.104166663	0	0	0
Term 1	Fall	40	SUR 110	Intro to Surgical Technology 	Class	10	Mod 5: Intro to Health Care Facilitie; Medical Terminology; Pharmacology	Online	Internet	2.1666	20	1	2.5	0	1	5	Online	Online 2hrs, 10min, SMTWThFS					4.3332	2	4.3332	0.015045833	0.270825	0	0	0
